approach,f1,f1,f1,precision,precision,precision,recall,recall,recall
,t = 1,t = 5,t = 10,t = 1,t = 5,t = 10,t = 1,t = 5,t = 10
algorithm_centroid_sliding_window,0.00036859261265311926,0.004366545281345829,0.01955408506982333,0.00019608071536457422,0.0023228769894427037,0.010410721149926033,0.003066506763013678,0.03632747863312738,0.16062726762102833
algorithm_gradient_boosting,0.2919939999219166,0.3123331553384879,0.3131975694436922,0.897756585632768,0.9602907840225123,0.9629484874540765,0.17435064442184203,0.18649522566150015,0.18701137036418564
algorithm_hmm-gem,0.06283167050833148,0.8349351114645676,0.8488570403324408,0.06066774093234953,0.8061798546914313,0.8196223108020242,0.06515567835076587,0.8658175580283273,0.8802544289769708
algorithm_hsw,0.6499044749813594,0.7254877351021253,0.7373411984051973,0.6009929718228125,0.67088787155845,0.6818492488232639,0.7074825801162844,0.7897621180149682,0.802665735582105
asw,0.5619666171113856,0.6153364996740621,0.6376342814396113,0.5474332767109089,0.5994299369475715,0.6213543316154666,0.5772926692271492,0.6321102727976561,0.6547902782627176
sspe,0.8462105391957996,0.930152929565533,0.940616851018877,0.8560023608716587,0.9409160803317645,0.9515089386949971,0.8366402016000486,0.9196332336465624,0.9299713084268213
temporal-dbscan,0.643725600290521,0.7449519821066705,0.8020765347255959,0.6445800550897111,0.7466634201275281,0.8065772853860085,0.6428734079213031,0.7432483718670776,0.7976257343676468
temporal-dbscan-sweep,0.7442352602747638,0.8449657714814974,0.8587624755815423,0.781476411472071,0.8882341157223465,0.9031918800707823,0.7103820988872528,0.805717061618569,0.8184992333733092
ti_baseline,3.0440070947225173e-05,0.0004809535954849606,0.01218090794604909,1.9037393247817364e-05,0.0003007908133155143,0.007618764777776508,7.590363274786331e-05,0.0011992773974162404,0.030361453099145324
ti_dropout_filter,3.0440070947225173e-05,0.0004809535954849606,0.01218090794604909,1.9037393247817364e-05,0.0003007908133155143,0.007618764777776508,7.590363274786331e-05,0.0011992773974162404,0.030361453099145324
Trackintel_Hyperband_Search ,0.0010979387016685164,0.6663965388297615,0.6832577410726933,0.0009639549695321376,0.5850747638884107,0.5998783580633685,0.0012751810301641037,0.7739741624034127,0.7935572996523613
