approach,f1,f1,f1,precision,precision,precision,recall,recall,recall
,t = 1,t = 5,t = 10,t = 1,t = 5,t = 10,t = 1,t = 5,t = 10
algorithm_centroid_sliding_window,0.0,0.9271001692351002,0.9274372074353163,0.0,0.9356793864803018,0.936019543571031,0.0,0.9186768478739392,0.9190108238580298
algorithm_gradient_boosting,0.32892350230004547,0.32892350230004547,0.32892350230004547,1.0,1.0,1.0,0.19683330044175915,0.19683330044175915,0.19683330044175915
algorithm_hmm-gem,0.008223183235619052,0.9968782359249045,0.9968782359249045,0.008248934512625452,1.0,1.0,0.008197592336769238,0.9937759021146753,0.9937759021146753
algorithm_hsw,0.9672772363882359,0.9870104023443148,0.9870104023443148,0.9755133549482785,0.9954145437702641,0.9954145437702641,0.9591790263081991,0.9787469828305982,0.9787469828305982
asw,0.9609389973203831,0.9835859456555948,0.9835859456555948,0.9706802552506041,0.9935567808685956,0.9935567808685956,0.9513913135882683,0.9738132467019872,0.9738132467019872
sspe,0.9942069971675342,0.9951648952654223,0.9951648952654223,0.9957816188228128,0.9967410340363969,0.9967410340363969,0.9926373476234572,0.9935937333960804,0.9935937333960804
temporal-dbscan,0.9453361318100052,0.9598277670961339,0.9616951663183082,0.9613145215712738,0.9760510993581193,0.9779500619909289,0.9298802240675239,0.9441349262975726,0.9459717942100709
temporal-dbscan-sweep,0.9654059040090488,0.9697263222132307,0.9697724476744853,0.977930755213606,0.9823072250689178,0.9823539489463765,0.9531978200476675,0.9574636042080974,0.9575091463877461
ti_baseline,0.007998630534678449,0.9501408318698583,0.9501563934079609,0.008204440613577231,0.9745885808233172,0.9746045427700363,0.007802893446480348,0.926889620937258,0.9269048016638076
ti_dropout_filter,0.007998630534678449,0.9501408318698583,0.9501563934079609,0.008204440613577231,0.9745885808233172,0.9746045427700363,0.007802893446480348,0.926889620937258,0.9269048016638076
Trackintel_Hyperband_Search ,0.001361970369229985,0.9874591599662245,0.9874591599662245,0.001373033014501697,0.9954797901882135,0.9954797901882135,0.0013510846629119669,0.9795667420642752,0.9795667420642752
