approach,f1,f1,f1,precision,precision,precision,recall,recall,recall
,t = 1,t = 5,t = 10,t = 1,t = 5,t = 10,t = 1,t = 5,t = 10
algorithm_centroid_sliding_window,0.0,0.5099274464210239,0.5157317288489129,0.0,0.6111947737926061,0.6181517381805841,0.0,0.43744781625248585,0.4424270945607457
algorithm_gradient_boosting,0.16823265005787846,0.16839511519556766,0.1686388129021015,0.7776943297033421,0.7784453623732632,0.779571911378145,0.09431785405249495,0.09440893841179239,0.09454556495073854
algorithm_hmm-gem,0.004183692414556181,0.5614657105143444,0.5709499285981777,0.005027052358028373,0.6746474673028586,0.6860435393856772,0.003582651465699148,0.48080397127806535,0.48892565998208676
algorithm_hsw,0.542826885891809,0.5602691085293223,0.569168201711727,0.6559206847606349,0.6769968600800035,0.6877500107531507,0.46299697903541664,0.47787409105399786,0.48546445432878416
asw,0.539307419438584,0.558110107064455,0.567021333427427,0.6529291185672672,0.6756931707843349,0.6864818211241773,0.45936878539006876,0.47538445189986794,0.48297481517465424
sspe,0.555476806358428,0.5632375349455503,0.5721854069466842,0.6669787034870115,0.6762972576218539,0.6870412526859988,0.47591577732910295,0.4825649355578158,0.49023120246535
temporal-dbscan,0.4659082270770953,0.4791513584695666,0.48834047004801606,0.5250913798355163,0.5400167529698446,0.5503731343283582,0.41871479969031317,0.43061648930517815,0.43887480454814565
temporal-dbscan-sweep,0.48149451827605066,0.4984761201098576,0.5083319739547567,0.5541240169149904,0.5736671540924001,0.5850096826463265,0.4256979339031166,0.44071167246064397,0.4494254095000987
ti_baseline,0.0029508981570312304,0.4729676646240971,0.47818670888006415,0.003999792218586047,0.6410835800737624,0.6481741208248922,0.00233783188863419,0.374705873423102,0.37883503104458577
ti_dropout_filter,0.0029526803737360656,0.47309993092976027,0.47832211995768803,0.004006347719763782,0.6419261687348786,0.6490283306017326,0.00233783188863419,0.37458442761070543,0.37871358523218923
Trackintel_Hyperband_Search ,0.0014742571541818334,0.5404097678519969,0.5449081423889289,0.0019527827153694014,0.715820043562076,0.7217785344115364,0.0011840966708666677,0.43404733350538155,0.43766034642417984
