approach,f1,f1,f1,precision,precision,precision,recall,recall,recall
,t = 1,t = 5,t = 10,t = 1,t = 5,t = 10,t = 1,t = 5,t = 10
algorithm_centroid_sliding_window,0.0,0.5090947752178631,0.51496008571606,0.0,0.6113546410180023,0.6183980933736222,0.0,0.4361422737692226,0.44116709425713113
algorithm_gradient_boosting,0.16253395600688758,0.16456797225225417,0.16681609547081724,0.6857497741644083,0.6943315266485999,0.7038166214995484,0.09219255233555478,0.0933462875533223,0.09462146858348641
algorithm_hmm-gem,0.014172210018977466,0.5498463200484733,0.5591114023801562,0.01701258931609391,0.6600459339911534,0.6711679142565499,0.01214458123965813,0.4711793906456363,0.4791189106310628
algorithm_hsw,0.5131159178862155,0.5530522928783522,0.5588396523506602,0.6287772002466743,0.6777156197691834,0.6848075059466127,0.43339456226374995,0.4671261366569004,0.4720143306058628
asw,0.5326688421761607,0.5512734108481244,0.5610072303156795,0.6404520737818531,0.6628211962895831,0.6745495255357714,0.45593794118986536,0.47186252334036705,0.4801815614895329
sspe,0.5374500221638044,0.5604620168328406,0.5693114170993888,0.6479636651884225,0.6757075219058637,0.6863765880412195,0.4591410744918252,0.4788001153735218,0.48636011719520894
temporal-dbscan,0.4427563537787275,0.46109898931280685,0.4717665630571817,0.49257117355003066,0.5130074195287948,0.5250385852687952,0.40209190411853113,0.41872998041686277,0.4283090188696431
temporal-dbscan-sweep,0.4646086524985261,0.4862955387905748,0.496997820072816,0.531574521346293,0.5564312674789275,0.568830305282303,0.41262732834393456,0.4318613088822431,0.4412733593429782
ti_baseline,0.0036008427038551182,0.46628998271534716,0.471863627610961,0.004877162943938569,0.6315666588839598,0.6391158845046307,0.0028539765913196606,0.36957478784934644,0.3739923792752721
ti_dropout_filter,0.003602636776988084,0.46633067602273387,0.4718879349526741,0.004883751136511235,0.6321600207819197,0.639693466683985,0.0028539765913196606,0.36942298058385076,0.37382539128322684
Trackintel_Hyperband_Search ,9.412380104048903e-05,0.5351882005872758,0.5430226700502143,0.00012385434728758978,0.7042358186772356,0.7147138964577656,7.590363274786331e-05,0.4315880558043508,0.4378425151427747
