approach,f1,f1,f1,precision,precision,precision,recall,recall,recall
,t = 1,t = 5,t = 10,t = 1,t = 5,t = 10,t = 1,t = 5,t = 10
algorithm_centroid_sliding_window,0.0018043767614972365,0.38192110237646243,0.392082619753034,0.0019030617400383981,0.4028091212233487,0.4135706827444508,0.0017154221001017109,0.36309261761267897,0.372717198245108
algorithm_gradient_boosting,0.13647537731351927,0.14170918027934096,0.14644416898422877,0.5274287465522526,0.5476555317192767,0.5660435182347533,0.07837809117544366,0.08138387503225904,0.08410122508463255
algorithm_hmm-gem,0.039360242059861696,0.5353309638109263,0.5449202941413621,0.046804059001987655,0.6365728632702166,0.6479757296788367,0.03395928529139405,0.4618736052707483,0.4701471012402654
algorithm_hsw,0.45688840907328987,0.5139387396629539,0.527486169159648,0.5606950454826459,0.6307074096970767,0.6473328623156407,0.3855145507263978,0.4336526346150927,0.4450837217069209
asw,0.3596959584248238,0.3899517982468482,0.40535170685906763,0.4618754017187612,0.5007260694646131,0.5206751255743091,0.2945364565148088,0.3193114022437114,0.3318506823736584
sspe,0.5091369928084202,0.5563196794919842,0.5668834966457799,0.611625678696902,0.6683061854572554,0.6809964867454488,0.43606637013647476,0.47647746421143716,0.48552517723498245
temporal-dbscan,0.4060294540208263,0.43521983286485855,0.45165144527581824,0.4455120651208325,0.4779818343334723,0.4971083594698961,0.37297527059645075,0.3994808191520046,0.4138114250148012
temporal-dbscan-sweep,0.4402348734982468,0.47156751912307876,0.48556630132032286,0.5058726154816333,0.54205423301277,0.5586079142361658,0.3896740698009807,0.4173029921212029,0.4294172119077619
ti_baseline,0.0025144984896061334,0.017666401872734053,0.03299403697594199,0.0014166596090327448,0.009953188639005874,0.01858980775005197,0.01117301474048548,0.07849953698784023,0.1465395533830249
ti_dropout_filter,0.0025166178644123022,0.0176505183485877,0.03298081295381715,0.001418005198067968,0.009945302761449525,0.01858434529967883,0.01117301474048548,0.07836291044889408,0.14635738466443005
Trackintel_Hyperband_Search ,0.00013076530357602613,0.5240328033749739,0.535291562640878,0.00016994828716404865,0.6810556216465561,0.6957925659763529,0.00010626508584700863,0.42584974116861235,0.43495817709835594
