approach,f1,f1,f1,precision,precision,precision,recall,recall,recall
,t = 1,t = 5,t = 10,t = 1,t = 5,t = 10,t = 1,t = 5,t = 10
algorithm_centroid_sliding_window,0.0,0.87002779488516,0.8739808523280259,0.0,0.8852420381164863,0.8892642229798734,0.0,0.8553276759825725,0.8592139419792632
algorithm_gradient_boosting,0.30143552867091916,0.30301639508770695,0.3046737550407909,0.9408674890569041,0.9458018304814962,0.950974930362117,0.179466549269048,0.18040775431512152,0.18139450154084374
algorithm_hmm-gem,0.02635815809895395,0.9155588266362985,0.9209101920778245,0.02662598162977649,0.9248617586468612,0.9302674989544771,0.026095668938715406,0.9064411822749837,0.9117392558407845
algorithm_hsw,0.857693084172487,0.9181847830651548,0.9222227398590173,0.8779270328272792,0.9398457992210476,0.9439790159764725,0.8383708044266999,0.8974997343372854,0.9014467232401743
asw,0.8890082568025798,0.9140243714776772,0.9201553684770807,0.8988718712660801,0.9241655416414506,0.9303880949055755,0.8793587661105461,0.9041033503863495,0.9101452795530794
sspe,0.9019272146273837,0.934810941655432,0.9395152271824277,0.9166091917988589,0.9500282149351057,0.9548090789391185,0.887708165712811,0.9200734747164999,0.9247035963141196
temporal-dbscan,0.8679261875660057,0.8960013110481739,0.9036508690613597,0.8906247504033482,0.9194581556205172,0.9273813517355953,0.8463558665917751,0.873711535834105,0.881104549663747
temporal-dbscan-sweep,0.8649306240580085,0.8989821061975602,0.9070136985735898,0.8894342588582519,0.924466259243219,0.9327911714226136,0.841740925720705,0.8748652710518725,0.8826226223187041
ti_baseline,0.0073789635699019794,0.8082182019215112,0.8117335021867422,0.007711146412496691,0.8446021975112523,0.848275747948107,0.007074218572100861,0.7748394638167383,0.7782095851107435
ti_dropout_filter,0.00738545409213206,0.8084853479064179,0.8119720429949326,0.00772533611843305,0.8456922133253759,0.8493393677160525,0.007074218572100861,0.7744144034733502,0.7777541633142562
Trackintel_Hyperband_Search ,0.00015517704588530483,0.9163052332975826,0.9208519222062996,0.00015869993017203073,0.9371072176728242,0.9417571256268648,0.00015180726549572662,0.8964067220257161,0.9008546749047409
