approach,f1,f1,f1,precision,precision,precision,recall,recall,recall
,t = 1,t = 5,t = 10,t = 1,t = 5,t = 10,t = 1,t = 5,t = 10
algorithm_centroid_sliding_window,0.0030332647546440815,0.5952344039140928,0.6071218712267865,0.002727867898450571,0.5353046725346137,0.5460706578404986,0.003415663473653849,0.6702746193432818,0.6835425743476082
algorithm_gradient_boosting,0.2933007160242947,0.30102183826265566,0.30359554567544267,0.9125505430904622,0.9365733766748593,0.9445809878696583,0.17473016258558136,0.17932992273010187,0.1808631761116087
algorithm_hmm-gem,0.06722561202565572,0.8836713887416738,0.8897122597226689,0.06738351254480286,0.8857469686570579,0.8918020285213147,0.06706844989601202,0.8816055136398828,0.8876322620800632
algorithm_hsw,0.7631648666260525,0.8501254538437815,0.8673461436064319,0.7840092217543747,0.87334496725957,0.891036006468036,0.7434001791325733,0.8281086332791887,0.8448833361164665
asw,0.6023554170047349,0.647278319590837,0.666193976336679,0.6451831044527674,0.6933000416146483,0.7137085587460119,0.5648596541830492,0.6069861703581133,0.6246109938821672
sspe,0.8538511366291207,0.9280206051506668,0.9351460562750074,0.8677021456671317,0.9430747770481012,0.9503158158707271,0.8404353832374417,0.9134394972143367,0.9204529928802393
temporal-dbscan,0.8087135694682045,0.856432069044749,0.8718531331930726,0.8248208592442944,0.8740017045992613,0.8908740806212317,0.7932233236682708,0.8395549010975665,0.8536274346090204
temporal-dbscan-sweep,0.8218192662076788,0.8734357252080028,0.8848089867970713,0.8512427614028238,0.9048734465482464,0.9170407964083545,0.7943618781594887,0.8441091190624384,0.8547659891002384
ti_baseline,0.002610478351264247,0.018943514713439254,0.034996380514391516,0.0014104148062973247,0.010234987583945981,0.01890909980550221,0.01750337771165728,0.12701713904027448,0.2345118637377985
ti_dropout_filter,0.0026109985911587415,0.01895240479069388,0.035011073044236986,0.001410817245281355,0.010240671705766225,0.018918667365543727,0.017488196985107708,0.1269412354075266,0.23436005647230276
Trackintel_Hyperband_Search ,0.00017034055380018176,0.8892244082099908,0.90086951130477,0.0001738305941845765,0.9074431099873578,0.919326801517067,0.0001669879920452993,0.871722860656111,0.8831387670213896
