approach,f1,f1,f1,precision,precision,precision,recall,recall,recall
,t = 1,t = 5,t = 10,t = 1,t = 5,t = 10,t = 1,t = 5,t = 10
algorithm_centroid_sliding_window,0.00036773371141738027,0.0043015416412651,0.019275625658147076,0.00019604353976215394,0.0022932067394742213,0.010284745701368383,0.0029602416771666693,0.03462723725957524,0.15321907306483687
algorithm_gradient_boosting,0.2695911957447767,0.2898398998787807,0.29218905596998923,0.8478278326507669,0.9115072673251425,0.9188950453705934,0.16027811091038818,0.17231642706419928,0.17371305390675998
algorithm_hmm-gem,0.058928174288475355,0.7905566673579291,0.8080646356330755,0.05757782058895954,0.7724408650433825,0.7895476338774859,0.06034338803455133,0.8095426047090614,0.8274710427641067
algorithm_hsw,0.6164682230187644,0.6898333639585518,0.7029433833545848,0.5775469871208202,0.6462801586354171,0.6585624660114334,0.6610143761480425,0.739680901127928,0.7537382539128322
asw,0.5305081067639238,0.5835635133426991,0.6072845608720161,0.5230451460607849,0.5753614635585719,0.5989524933608734,0.53818711763545,0.5920027932536851,0.6158517146630638
sspe,0.7960702450940929,0.878297106179121,0.8927075856706295,0.8142879822193999,0.8983965708842674,0.913144943641848,0.778649826180681,0.859077315440317,0.8731650296783204
temporal-dbscan,0.5790008679975044,0.6736142536512648,0.73060780894129,0.5770036628932335,0.6719524879034081,0.7313124613738111,0.5810119472317945,0.6752842591046407,0.7299045132300032
temporal-dbscan-sweep,0.6922420338619858,0.7888358470604432,0.8053152434356767,0.7322250812567714,0.8353534669555797,0.8532468851570965,0.6563994352769723,0.7472257222230656,0.7624823524053861
ti_baseline,2.4942910377688114e-05,0.0004926230919622727,0.01215216771437489,1.5694952895522622e-05,0.0003099753196865718,0.007647365798343398,6.072290619829065e-05,0.0011992773974162404,0.029572055318567547
ti_dropout_filter,2.5211269327200302e-05,0.00044750058162586334,0.012150538679866539,1.590805146254648e-05,0.00028236791346020006,0.007667680804947404,6.072290619829065e-05,0.001077831585019659,0.02925326006102652
Trackintel_Hyperband_Search ,0.0013365887380337078,0.6310022430379457,0.6491586768602589,0.0011846395646156371,0.5592671655445823,0.5753594970559948,0.001533253381506839,0.7238474033367237,0.7446753601627374
