approach,f1,f1,f1,precision,precision,precision,recall,recall,recall
,t = 1,t = 5,t = 10,t = 1,t = 5,t = 10,t = 1,t = 5,t = 10
algorithm_centroid_sliding_window,0.0003596637960917312,0.004217110729905177,0.01893179532540341,0.00019321706411755732,0.0022654983248871488,0.010179488483246046,0.0025959042399769255,0.030437356731893187,0.13503256265844885
algorithm_gradient_boosting,0.2249014726985624,0.24255859777634714,0.24595519599248483,0.770132291574181,0.8305957560152712,0.842226760188227,0.13167762209099326,0.14201569687125226,0.14400437204924627
algorithm_hmm-gem,0.050245826304760544,0.6830962542818836,0.701527442198187,0.05110692416391898,0.6948029517977704,0.713550007850526,0.049413264918859015,0.6717775112716895,0.6899032987718792
algorithm_hsw,0.5353069606871809,0.59931169739295,0.6125892757521256,0.5222841627913694,0.5847318101730163,0.5976863753213367,0.5489957949387457,0.614637256539098,0.6282543682540647
asw,0.45737287331086157,0.5042058257060801,0.5280676783205647,0.4743407856758476,0.5229196223276747,0.5478694780098821,0.4415769738739696,0.486785177538597,0.5096473517222534
sspe,0.6758491231512399,0.7475974265092273,0.7636007566602067,0.7165943693118993,0.7926681976694735,0.8096453176830825,0.6394881059007484,0.7073763150304374,0.7225114994003613
temporal-dbscan,0.43463198088245314,0.5117628782826772,0.5625387506868615,0.4278593065317766,0.5043819662970914,0.5564656059759433,0.44162251605361835,0.5193630167139799,0.5687459201797398
temporal-dbscan-sweep,0.5613122975109675,0.643466419745505,0.6599214537903085,0.6063460759627406,0.6960257787325457,0.7142328890141043,0.5225054271097415,0.5982876140452082,0.613286171876186
ti_baseline,3.440679125863016e-05,0.0005229837249222356,0.011593540068444222,2.2245258423167103e-05,0.00033812792803213993,0.007496652088607314,7.590363274786331e-05,0.0011537352177675222,0.025564343509480364
ti_dropout_filter,3.480472734277165e-05,0.00045942283208419134,0.011539662594843635,2.257907190982822e-05,0.0002980437492097325,0.007487220245299037,7.590363274786331e-05,0.0010019279522717958,0.025154463892641903
Trackintel_Hyperband_Search ,0.0013985534074320957,0.5322181468671381,0.5523189249838898,0.001275127512751275,0.48524852485248526,0.5035753575357536,0.0015484341080564115,0.5892550817482125,0.611510026869886
