approach,f1,f1,f1,f1,precision,precision,precision,precision,recall,recall,recall,recall
,r 0.0001,r 0.0005,r 0.001,r 0.01,r 0.0001,r 0.0005,r 0.001,r 0.01,r 0.0001,r 0.0005,r 0.001,r 0.01
algorithm_centroid_sliding_window,0.5114268066207992,0.7384496602341407,0.87002779488516,0.9268838788876305,0.5203701667007086,0.7513629864722611,0.8852420381164863,0.9430923688469213,0.5027856633218466,0.7259727050536638,0.8553276759825725,0.9112231111380991
algorithm_gradient_boosting,0.30301639508770695,0.30301639508770695,0.30301639508770695,0.30301639508770695,0.9458018304814962,0.9458018304814962,0.9458018304814962,0.9458018304814962,0.18040775431512152,0.18040775431512152,0.18040775431512152,0.18040775431512152
algorithm_hmm-gem,0.9155588266362985,0.9155588266362985,0.9155588266362985,0.9155588266362985,0.9248617586468612,0.9248617586468612,0.9248617586468612,0.9248617586468612,0.9064411822749837,0.9064411822749837,0.9064411822749837,0.9064411822749837
algorithm_hsw,0.9171752938666894,0.9181847830651548,0.9181847830651548,0.9181847830651548,0.9388124950321914,0.9398457992210476,0.9398457992210476,0.9398457992210476,0.8965129871115631,0.8974997343372854,0.8974997343372854,0.8974997343372854
asw,0.9140090241680606,0.9140243714776772,0.9140243714776772,0.9140243714776772,0.9241500240522632,0.9241655416414506,0.9241655416414506,0.9241655416414506,0.9040881696597999,0.9041033503863495,0.9041033503863495,0.9041033503863495
sspe,0.9346875505596418,0.934810941655432,0.934810941655432,0.9348263655424057,0.9499028152235249,0.9500282149351057,0.9500282149351057,0.9500438898990532,0.9199520289041033,0.9200734747164999,0.9200734747164999,0.9200886554430495
temporal-dbscan,0.8957210987089622,0.8959857436959957,0.8960013110481739,0.8960013110481739,0.9191706202776313,0.9194421814348014,0.9194581556205172,0.9194581556205172,0.8734382827562127,0.8736963551075555,0.873711535834105,0.873711535834105
temporal-dbscan-sweep,0.8986469498389174,0.8989665075203095,0.8989821061975602,0.8989977048748112,0.9241133727924546,0.9244502189500025,0.924466259243219,0.9244822995364356,0.8745464757943315,0.874850090325323,0.8748652710518725,0.8748804517784221
ti_baseline,0.8081865325497524,0.8082182019215112,0.8082182019215112,0.8082340366073906,0.8445691024622717,0.8446021975112523,0.8446021975112523,0.8446187450357426,0.7748091023636391,0.7748394638167383,0.7748394638167383,0.7748546445432879
ti_dropout_filter,0.8084694992923792,0.8084853479064179,0.8084853479064179,0.8084853479064179,0.8456756353508729,0.8456922133253759,0.8456922133253759,0.8456922133253759,0.7743992227468006,0.7744144034733502,0.7744144034733502,0.7744144034733502
Trackintel_Hyperband_Search ,0.9162897155879964,0.9163052332975826,0.9163052332975826,0.9163517864263407,0.9370913476798071,0.9371072176728242,0.9371072176728242,0.9371548276518759,0.8963915412991665,0.8964067220257161,0.8964067220257161,0.8964522642053648
